snapped_at,price,market_cap,total_volume
2021-03-09 00:00:00 UTC,1837.5330305439452,211132676701.59906,35353973627.380775
2021-03-10 00:00:00 UTC,1869.3311016255,214412034435.93906,31147565432.965343
2021-03-11 00:00:00 UTC,1802.3110916881178,207916309215.61444,31746963272.74199
2021-03-12 00:00:00 UTC,1826.0574768119818,210018342198.09778,31257932436.53519
2021-03-13 00:00:00 UTC,1770.9361793697751,203771682506.1516,28436574756.548508
2021-03-14 00:00:00 UTC,1927.7207203999014,222405459430.76758,32785949401.529545
2021-03-15 00:00:00 UTC,1866.0715447008808,215367930757.887,26379565439.25233
2021-03-16 00:00:00 UTC,1791.047851830107,207264868908.9888,32950345872.852455
2021-03-17 00:00:00 UTC,1808.5512173614395,207059072434.72623,30686971237.08834
2021-03-18 00:00:00 UTC,1828.7548332342565,210150824167.56415,30744899541.009495
2021-03-19 00:00:00 UTC,1780.1596459528505,205022936620.98633,29651777827.921936
2021-03-20 00:00:00 UTC,1817.1329628084297,209188785173.5874,27345983317.046707
2021-03-21 00:00:00 UTC,1817.8601431294944,209455699202.5177,29495472699.399334
2021-03-22 00:00:00 UTC,1790.3780747526928,206013222508.0891,29228757709.8678
2021-03-23 00:00:00 UTC,1686.8911971580417,195434685366.63266,31376731220.175137
2021-03-24 00:00:00 UTC,1673.8591835627929,192388701720.41965,28758919428.479744
2021-03-25 00:00:00 UTC,1581.631055931366,183005042939.6772,38413713634.36278
2021-03-26 00:00:00 UTC,1587.2979641585232,182810172113.94278,26325124557.630264
2021-03-27 00:00:00 UTC,1700.3668693581185,195511706252.9431,24804294373.644676
2021-03-28 00:00:00 UTC,1713.8378756834459,197943394049.89084,21118379279.876865
2021-03-29 00:00:00 UTC,1689.0367982059097,194647792269.71985,19859272131.74501
2021-03-30 00:00:00 UTC,1817.626388088868,209088522651.80023,32618518751.6075
2021-03-31 00:00:00 UTC,1840.294951985396,212080597430.12268,28496809577.711266
